,Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description,Source,AssetStatus
0,Aberdeen City Council Contracts Register,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-council-contracts-register,https://data.aberdeencity.gov.uk/dataset/f319b0c8-50a3-4167-bbb9-69e94a9aa8b1/resource/6878ec51-8fae-4654-ba5f-a9f6f10ba603/download/aberdeen-city-contract-register-feb-2020.xlsx,2020-03-23,2020-08-04,70292.0,B,XLSX,,aberdeen;contracts;finance,,Open Government Licence 3.0 (United Kingdom),"Aberdeen City Council in accordance with [**Section 35** of the Procurement Reform (Scotland) Act 2014](http://www.legislation.gov.uk/asp/2014/12/section/35) have a legal obligation to publish a Contracts Register as a statement of current and future contracting opportunities.

The Contracts Register is based on information and supporting documentation provided by Budget Holders and will continually undergo a verification process by Aberdeen City Council's **Commercial and Procurement Services**.

The Contracts Register is available on [Aberdeen City Council's website](https://www.aberdeencity.gov.uk/services/council-and-democracy/financial-information-and-procurement/contracts-register) as a pdf document.  The same details are provided here as open data to increase the accessibility of this information.

Aberdeen City Council tenders are advertised on the [Public Contracts Scotland portal](https://www.publiccontractsscotland.gov.uk/search/Search_MainPageAdv.aspx). You can register on the portal as a supplier and download tender documents from there. 

The standard terms and conditions relating to low value/low risk orders (Purchase Orders) are also available on [Aberdeen City Council's website](https://www.aberdeencity.gov.uk/services/council-and-democracy/financial-information-and-procurement/contracts-register), along with a list of additional providers of procurement opportunities and contact details for the Commercial and Procurement Service. ",ckan API,
1,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/9f66bf1e-c2bf-4fdf-89d9-05c8c85954c6/download/rollww1_opendata_v1.csv,2020-02-11,2020-08-04,438490.0,B,CSV,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
2,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/80a6d0c8-9fb7-47dc-b04f-ec0e576495c6/download/rollww1_opendata_v1.xlsx,2020-02-11,2020-08-04,328592.0,B,XLSX,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
3,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/2e8539e9-4a26-4b1d-a4f0-4b51a0939bb0/download/rollwwiiparti_hmf_merch_opendata_v1.csv,2020-02-11,2020-08-04,375990.0,B,CSV,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
4,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/a8ccd079-652e-4149-8541-19050bcaa63c/download/rollwwiiparti_hmf_merch_opendata_v1.xlsx,2020-02-11,2020-08-04,224211.0,B,XLSX,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
5,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/87300c10-4d12-4814-9211-3567c070adb2/download/rollwwiipartii_civ_opendata_v1.csv,2020-02-11,2020-08-04,21416.0,B,CSV,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
6,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/1084f006-8fd0-4244-84ed-cc17bfa25de5/download/rollwwiipartii_civ_opendata_v1.xlsx,2020-02-11,2020-08-04,22525.0,B,XLSX,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
7,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/22d1ab57-b2a7-40d6-8a5c-d3b0945300a4/download/rollpost1945_opendata_v1.csv,2020-02-11,2020-08-04,2255.0,B,CSV,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
8,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://data.aberdeencity.gov.uk/dataset/81e8f43a-939a-4eff-b79a-03bddb2c5e75/resource/3003a76b-fa7c-4532-98e9-ce4663794029/download/rollpost1945_opendata_v1.xlsx,2020-02-11,2020-08-04,12916.0,B,XLSX,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
9,Aberdeen City Rolls of Honour,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/aberdeen-city-rolls-of-honour,https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives,2020-02-11,2020-08-04,85944.0,B,,,aberdeen;military,,Open Government Licence 3.0 (United Kingdom),"The Roll of Honour for the **Great War** (later known as World War I or WWI) was compiled by the City Assessor, Mr H. G. Pope.  In early 1925, forms were sent to each householder in Aberdeen asking for full details of those relatives who had fallen during the conflict.  For military personnel, the details included rank, regiment and any military honours.  The forms also requested details of any non-combatants killed by enemy action and those in the **Mercantile Marine** (Merchant Navy - commercial/civilian vessels and crews that were engaged in activity supporting the Nation during times of war or those requisitioned and reassigned to military duties, such as minesweeping). The WWI Roll also drew together many separate lists provided by Churches, the University of Aberdeen, schools, guilds and businesses. The City Assessor was responsible for ensuring that no duplications existed. The final copy of the Roll contained over five thousand names.   
    
Later, two dedicated volumes were created to commemorate lives lost during **World War II**. Volume One: **HM Forces and the Merchant Navy** and Volume Two: **Civil Defence and Civilians**. The separate volumes record slightly different information.    
    
The **Post-1945** Roll varies in intent from the WWI and WWII volumes. This volume is hand-written, and records HM Forces lives lost in conflict and during active service, so includes those who lost their lives in Northern Ireland, for example.    
    
The transcripts are an attempt to provide a structure to the data recorded in the City’s Rolls of Honour. Original copies of the WWI volume can be accessed in the Central Library, Aberdeen Art Gallery, and the Aberdeen City Archives. The WWII and Post-1945 volumes can be viewed in Aberdeen Art Gallery (McBey library on Level 1).  Links to the [Aberdeen Art Gallery and Museums](http://www.aagm.co.uk/) website, the [Local and Family History](https://www.aberdeencity.gov.uk/services/libraries-and-archives/local-and-family-history) section of the Aberdeen City Council website, and the [Aberdeen City and Aberdeenshire Archives](https://www.aberdeencity.gov.uk/services/libraries-and-archives/aberdeen-city-and-aberdeenshire-archives) web pages are listed as resources below.",ckan API,
